HDR,ROLLING SYSTEM DEMAND
VD,20220202173000,42794
VD,20220202173500,42884
VD,20220202174000,42893
VD,20220202174500,42886
VD,20220202175000,42717
VD,20220202175500,42480
VD,20220202180000,42390
VD,20220202180500,42422
VD,20220202181000,42394
VD,20220202181500,42135
VD,20220202182000,41952
VD,20220202182500,41936
VD,20220202183000,41954
VD,20220202183500,41943
VD,20220202184000,41925
VD,20220202184500,41742
VD,20220202185000,41432
VD,20220202185500,41220
VD,20220202190000,40963
VD,20220202190500,40966
VD,20220202191000,41102
VD,20220202191500,40921
VD,20220202192000,40351
VD,20220202192500,40247
VD,20220202193000,40057
VD,20220202193500,39981
VD,20220202194000,39687
VD,20220202194500,39444
VD,20220202195000,39277
VD,20220202195500,39014
VD,20220202200000,38798
VD,20220202200500,38698
VD,20220202201000,38602
VD,20220202201500,38101
VD,20220202202000,37794
VD,20220202202500,37583
VD,20220202203000,37380
VD,20220202203500,37013
VD,20220202204000,36647
VD,20220202204500,36279
VD,20220202205000,35847
VD,20220202205500,35497
VD,20220202210000,35444
VD,20220202210500,35452
VD,20220202211000,34775
VD,20220202211500,34408
VD,20220202212000,34111
VD,20220202212500,33855
VD,20220202213000,33633
VD,20220202213500,33420
VD,20220202214000,33208
VD,20220202214500,32733
VD,20220202215000,32547
VD,20220202215500,32260
VD,20220202220000,31948
VD,20220202220500,31932
VD,20220202221000,31517
VD,20220202221500,31185
VD,20220202222000,30634
VD,20220202222500,30363
VD,20220202223000,29992
VD,20220202223500,29800
VD,20220202224000,29643
VD,20220202224500,29280
VD,20220202225000,28988
VD,20220202225500,28535
VD,20220202230000,28036
VD,20220202230500,27720
VD,20220202231000,27430
VD,20220202231500,26979
VD,20220202232000,26689
VD,20220202232500,26438
VD,20220202233000,26288
VD,20220202233500,26215
VD,20220202234000,26137
VD,20220202234500,25911
VD,20220202235000,25761
VD,20220202235500,25739
VD,20220203000000,25854
VD,20220203000500,26208
VD,20220203001000,26175
VD,20220203001500,26192
VD,20220203002000,26334
VD,20220203002500,26086
VD,20220203003000,25730
VD,20220203003500,26087
VD,20220203004000,26433
VD,20220203004500,26471
VD,20220203005000,26471
VD,20220203005500,26396
VD,20220203010000,26239
VD,20220203010500,26119
VD,20220203011000,26096
VD,20220203011500,25901
VD,20220203012000,25794
VD,20220203012500,25727
VD,20220203013000,25773
VD,20220203013500,25969
VD,20220203014000,26014
VD,20220203014500,26101
VD,20220203015000,26004
VD,20220203015500,25859
VD,20220203020000,25839
VD,20220203020500,26004
VD,20220203021000,26106
VD,20220203021500,26180
VD,20220203022000,26313
VD,20220203022500,26384
VD,20220203023000,26200
VD,20220203023500,26122
VD,20220203024000,26009
VD,20220203024500,25922
VD,20220203025000,25760
VD,20220203025500,25741
VD,20220203030000,25619
VD,20220203030500,25356
VD,20220203031000,25352
VD,20220203031500,25317
VD,20220203032000,25166
VD,20220203032500,25120
VD,20220203033000,25077
VD,20220203033500,25036
VD,20220203034000,25128
VD,20220203034500,25266
VD,20220203035000,25335
VD,20220203035500,25236
VD,20220203040000,25234
VD,20220203040500,25201
VD,20220203041000,25286
VD,20220203041500,25356
VD,20220203042000,25302
VD,20220203042500,25265
VD,20220203043000,25320
VD,20220203043500,25399
VD,20220203044000,25353
VD,20220203044500,25339
VD,20220203045000,25421
VD,20220203045500,25561
VD,20220203050000,25775
VD,20220203050500,26023
VD,20220203051000,25992
VD,20220203051500,26083
VD,20220203052000,26269
VD,20220203052500,26283
VD,20220203053000,26401
VD,20220203053500,26588
VD,20220203054000,26736
VD,20220203054500,26932
VD,20220203055000,27207
VD,20220203055500,27504
VD,20220203060000,27844
VD,20220203060500,28619
VD,20220203061000,29477
VD,20220203061500,29866
VD,20220203062000,30292
VD,20220203062500,30655
VD,20220203063000,30891
VD,20220203063500,31340
VD,20220203064000,31998
VD,20220203064500,32392
VD,20220203065000,32856
VD,20220203065500,33179
VD,20220203070000,33504
VD,20220203070500,33965
VD,20220203071000,34584
VD,20220203071500,35237
VD,20220203072000,35773
VD,20220203072500,36194
VD,20220203073000,36353
VD,20220203073500,36452
VD,20220203074000,36644
VD,20220203074500,36885
VD,20220203075000,37130
VD,20220203075500,37363
VD,20220203080000,37630
VD,20220203080500,37785
VD,20220203081000,37786
VD,20220203081500,37911
VD,20220203082000,37947
VD,20220203082500,38036
VD,20220203083000,38037
VD,20220203083500,38083
VD,20220203084000,38128
VD,20220203084500,38129
VD,20220203085000,38168
VD,20220203085500,38227
VD,20220203090000,38358
VD,20220203090500,38403
VD,20220203091000,38126
VD,20220203091500,38194
VD,20220203092000,38314
VD,20220203092500,38307
VD,20220203093000,38255
VD,20220203093500,38215
VD,20220203094000,38156
VD,20220203094500,38123
VD,20220203095000,38217
VD,20220203095500,38202
VD,20220203100000,38178
VD,20220203100500,38196
VD,20220203101000,38191
VD,20220203101500,37894
VD,20220203102000,37769
VD,20220203102500,37763
VD,20220203103000,37715
VD,20220203103500,37724
VD,20220203104000,37692
VD,20220203104500,37690
VD,20220203105000,37691
VD,20220203105500,37684
VD,20220203110000,37661
VD,20220203110500,37707
VD,20220203111000,37791
VD,20220203111500,37756
VD,20220203112000,37627
VD,20220203112500,37591
VD,20220203113000,37596
VD,20220203113500,37439
VD,20220203114000,37439
VD,20220203114500,37479
VD,20220203115000,37539
VD,20220203115500,37533
VD,20220203120000,37568
VD,20220203120500,37565
VD,20220203121000,37631
VD,20220203121500,37675
VD,20220203122000,37698
VD,20220203122500,37757
VD,20220203123000,37634
VD,20220203123500,37510
VD,20220203124000,37554
VD,20220203124500,37572
VD,20220203125000,37622
VD,20220203125500,37525
VD,20220203130000,37594
VD,20220203130500,37883
VD,20220203131000,37912
VD,20220203131500,37963
VD,20220203132000,37888
VD,20220203132500,37766
VD,20220203133000,37548
VD,20220203133500,37436
VD,20220203134000,37453
VD,20220203134500,37421
VD,20220203135000,37311
VD,20220203135500,37245
VD,20220203140000,37069
VD,20220203140500,37098
VD,20220203141000,37071
VD,20220203141500,37057
VD,20220203142000,37052
VD,20220203142500,37099
VD,20220203143000,37189
VD,20220203143500,37250
VD,20220203144000,37342
VD,20220203144500,37410
VD,20220203145000,37368
VD,20220203145500,37371
VD,20220203150000,37287
VD,20220203150500,37257
VD,20220203151000,37236
VD,20220203151500,37173
VD,20220203152000,37206
VD,20220203152500,37352
VD,20220203153000,37557
VD,20220203153500,37760
VD,20220203154000,37879
VD,20220203154500,38013
VD,20220203155000,38269
VD,20220203155500,38499
VD,20220203160000,38733
VD,20220203160500,38804
VD,20220203161000,38850
VD,20220203161500,39028
VD,20220203162000,39404
VD,20220203162500,39550
VD,20220203163000,39712
VD,20220203163500,39970
VD,20220203164000,40293
VD,20220203164500,40691
VD,20220203165000,40860
VD,20220203165500,40992
VD,20220203170000,41177
VD,20220203170500,41339
VD,20220203171000,41552
VD,20220203171500,41671
VD,20220203172000,42014
VD,20220203172500,42195
VD,20220203173000,42314
VD,20220203173500,42498
VD,20220203174000,42494
VD,20220203174500,42475
VD,20220203175000,42310
VD,20220203175500,42124
VD,20220203180000,42152
VD,20220203180500,42241
VD,20220203181000,41986
VD,20220203181500,41795
VD,20220203182000,41714
VD,20220203182500,41642
VD,20220203183000,41656
VD,20220203183500,41561
VD,20220203184000,41411
VD,20220203184500,41115
VD,20220203185000,40919
VD,20220203185500,40738
VD,20220203190000,40578
VD,20220203190500,40419
VD,20220203191000,40157
VD,20220203191500,40047
VD,20220203192000,39872
VD,20220203192500,39496
VD,20220203193000,39161
VD,20220203193500,39190
VD,20220203194000,39149
VD,20220203194500,39018
VD,20220203195000,38736
VD,20220203195500,38552
VD,20220203200000,38305
VD,20220203200500,38310
VD,20220203201000,37034
VD,20220203201500,36801
VD,20220203202000,37358
VD,20220203202500,36963
VD,20220203203000,36902
VD,20220203203500,36911
VD,20220203204000,36500
VD,20220203204500,36370
VD,20220203205000,36170
